rowid,pl_name,hostname,pl_letter,k2_name,epic_hostname,epic_candname,hd_name,hip_name,tic_id,gaia_id,default_flag,disposition,disp_refname,sy_snum,sy_pnum,sy_mnum,cb_flag,discoverymethod,disc_year,disc_refname,disc_pubdate,disc_locale,disc_facility,disc_telescope,disc_instrument,rv_flag,pul_flag,ptv_flag,tran_flag,ast_flag,obm_flag,micro_flag,etv_flag,ima_flag,dkin_flag,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_msinie,pl_msinieerr1,pl_msinieerr2,pl_msinielim,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_msinijlim,pl_cmasse,pl_cmasseerr1,pl_cmasseerr2,pl_cmasselim,pl_cmassj,pl_cmassjerr1,pl_cmassjerr2,pl_cmassjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_tsystemref,ttv_flag,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_occdep,pl_occdeperr1,pl_occdeperr2,pl_occdeplim,pl_orbtper,pl_orbtpererr1,pl_orbtpererr2,pl_orbtperlim,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_orblperlim,pl_rvamp,pl_rvamperr1,pl_rvamperr2,pl_rvamplim,pl_projobliq,pl_projobliqerr1,pl_projobliqerr2,pl_projobliqlim,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,pl_trueobliqlim,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_age,st_ageerr1,st_ageerr2,st_agelim,st_dens,st_denserr1,st_denserr2,st_denslim,st_vsin,st_vsinerr1,st_vsinerr2,st_vsinlim,st_rotp,st_rotperr1,st_rotperr2,st_rotplim,st_radv,st_radverr1,st_radverr2,st_radvlim,sy_refname,rastr,ra,decstr,dec,glat,glon,elat,elon,sy_pm,sy_pmerr1,sy_pmerr2,sy_pmra,sy_pmraerr1,sy_pmraerr2,sy_pmdec,sy_pmdecerr1,sy_pmdecerr2,sy_dist,sy_disterr1,sy_disterr2,sy_plx,sy_plxerr1,sy_plxerr2,sy_bmag,sy_bmagerr1,sy_bmagerr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_jmag,sy_jmagerr1,sy_jmagerr2,sy_hmag,sy_hmagerr1,sy_hmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_umag,sy_umagerr1,sy_umagerr2,sy_gmag,sy_gmagerr1,sy_gmagerr2,sy_rmag,sy_rmagerr1,sy_rmagerr2,sy_imag,sy_imagerr1,sy_imagerr2,sy_zmag,sy_zmagerr1,sy_zmagerr2,sy_w1mag,sy_w1magerr1,sy_w1magerr2,sy_w2mag,sy_w2magerr1,sy_w2magerr2,sy_w3mag,sy_w3magerr1,sy_w3magerr2,sy_w4mag,sy_w4magerr1,sy_w4magerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,sy_icmag,sy_icmagerr1,sy_icmagerr2,sy_tmag,sy_tmagerr1,sy_tmagerr2,sy_kepmag,sy_kepmagerr1,sy_kepmagerr2,rowupdate,pl_pubdate,releasedate,pl_nnotes,k2_campaigns,k2_campaigns_num,st_nphot,st_nrvc,st_nspec,pl_nespec,pl_ntranspec,pl_ndispec
1547,EPIC 220556827.01,EPIC 220556827,,,EPIC 220556827,EPIC 220556827.01,,,TIC 406410644,Gaia DR2 2580690752603003136,0,CANDIDATE,Kruse et al. 2019,1,0,0,0,Transit,2019,<a refstr=ZINK_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RNAAS...3...43Z/abstract target=ref>Zink et al. 2019</a>,2019-02,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Published Candidate,0,<a refstr=ZINK_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RNAAS...3...43Z/abstract target=ref>Zink et al. 2019</a>,6.53074,0.00028,-0.00028,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2457394.996,0.0018,-0.0018,0,BJD,0,0.827,0.028,-0.041,0,,,,,,,,,16,1.2,-1,0,0.0477,0.0016,-0.0016,0,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=ZINK_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RNAAS...3...43Z/abstract target=ref>Zink et al. 2019</a>,,3628,,,0,0.69,0.03,-0.08,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h55m19.33s,13.830524,+08d03m24.88s,8.0569102,-54.80226,124.60013,1.9737,15.84334,58.1398454,0.0814151,-0.0814151,-36.3979,0.111604,-0.111604,-45.3369,0.0535974,-0.0535974,256.187,3.42,-3.333,3.87527,0.051054,-0.051054,17.815,0.18,-0.18,16.374,0.149,-0.149,12.976,0.026,-0.026,12.264,0.023,-0.023,12.04,0.023,-0.023,,,,,,,,,,,,,,,,11.971,0.024,-0.024,11.987,0.024,-0.024,11.559,0.223,-0.223,8.818,,,15.3851,0.000582,-0.000582,,,,14.3112,0.007432,-0.007432,15.408,,,2019-09-19,2019-02,2019-09-19,0,8,1,0,0,0,0,0,0
1548,EPIC 220556827.01,EPIC 220556827,,,EPIC 220556827,EPIC 220556827.01,,,TIC 406410644,Gaia DR2 2580690752603003136,1,CANDIDATE,Kruse et al. 2019,1,0,0,0,Transit,2019,<a refstr=ZINK_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RNAAS...3...43Z/abstract target=ref>Zink et al. 2019</a>,2019-02,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,6.53046,0.00064,-0.00122,0,,,,,3.36,0.46,-0.44,0,0.3,0.041,-0.039,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2457394.996,0.0056,-0.0033,0,BJD,0,,,,,0.22,0.012,-0.013,0,2.4,0.192,-0.264,0,19.2,5.1,-3.2,0,0.0445,0.003,-0.0056,0,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,,,,0.692,0.083,-0.024,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h55m19.33s,13.830524,+08d03m24.88s,8.0569102,-54.80226,124.60013,1.9737,15.84334,58.1398454,0.0814151,-0.0814151,-36.3979,0.111604,-0.111604,-45.3369,0.0535974,-0.0535974,256.187,3.42,-3.333,3.87527,0.051054,-0.051054,17.815,0.18,-0.18,16.374,0.149,-0.149,12.976,0.026,-0.026,12.264,0.023,-0.023,12.04,0.023,-0.023,,,,,,,,,,,,,,,,11.971,0.024,-0.024,11.987,0.024,-0.024,11.559,0.223,-0.223,8.818,,,15.3851,0.000582,-0.000582,,,,14.3112,0.007432,-0.007432,15.408,,,2019-09-05,2019-09,2019-09-05,0,8,1,0,0,0,0,0,0
1549,EPIC 220562610.01,EPIC 220562610,,,EPIC 220562610,EPIC 220562610.01,,,TIC 376906028,Gaia DR2 2578667307610428160,1,CANDIDATE,Kruse et al. 2019,1,0,0,0,Transit,2019,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,2019-09,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,,,,,,,6.71,0.32,-0.46,0,0.599,0.029,-0.041,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2457396.687,0.00096,-0.00104,0,BJD,0,,,,,0.2809,0.003,-0.0031,0,11.64,0.168,-0.24,0,,,,,0.049,0.0021,-0.003,0,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,,,,1.256,0.03,-0.036,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h14m06.97s,18.5290506,+08d11m15.56s,8.187656,-54.2592,132.56888,0.31768,20.19292,9.8728989,0.0703729,-0.0703729,-1.74441,0.0971512,-0.0971512,-9.71757,0.0693382,-0.0693382,400.27,9.313,-8.905,2.47042,0.0564063,-0.0564063,13.387,0.014,-0.014,12.753,0.069,-0.069,11.37,0.027,-0.027,11.107,0.029,-0.029,11.041,0.024,-0.024,15.1299,0.0071903,-0.0071903,15.4286,0.0122799,-0.0122799,12.5635,0.0014155,-0.0014155,12.3977,0.0008142,-0.0008142,13.235,0.00696,-0.00696,10.961,0.024,-0.024,10.991,0.02,-0.02,10.786,0.097,-0.097,9.226,,,12.5094,0.000291,-0.000291,,,,12.0296,0.0078,-0.0078,12.513,,,2019-09-05,2019-09,2019-09-05,0,8,1,0,0,0,0,0,0
1550,EPIC 220565337.01,EPIC 220565337,,,EPIC 220565337,EPIC 220565337.01,,,TIC 401433551,Gaia DR2 2749630164455193088,1,CANDIDATE,Kruse et al. 2019,1,0,0,0,Transit,2019,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,2019-09,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,14.753,0.0012,-0.0013,0,,,,,3,0.59,-0.35,0,0.3,0.053,-0.031,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2457393.243,0.004,-0.0041,0,BJD,0,,,,,0.251,0.02,-0.022,0,2.328,0.168,-0.216,0,44.7,13.1,-7.3,0,0.0486,0.0034,-0.0056,0,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,,,,0.5666,0.1044,-0.0091,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h37m57.32s,9.4888351,+08d15m03.97s,8.2511033,-54.47014,117.18546,3.82863,11.95646,22.2923013,0.1093883,-0.1093883,-22.0675,0.110131,-0.110131,-3.15787,0.063281,-0.063281,227.452,3.8475,-3.8475,4.36924,0.073783,-0.073783,17.749,0,0,16.376,0.275,-0.275,13.192,0.021,-0.021,12.574,0.032,-0.032,12.383,0.025,-0.025,19.579,0.034061,-0.034061,17.059,0.0041785,-0.0041785,15.6259,0.0034661,-0.0034661,14.8658,0.0034014,-0.0034014,14.4271,0.0038843,-0.0038843,12.268,0.024,-0.024,12.237,0.025,-0.025,,,,7.379,,,15.481,0.000455,-0.000455,,,,14.4649,0.0073342,-0.0073342,15.412,,,2019-09-05,2019-09,2019-09-05,0,8,1,0,0,0,0,0,0
1551,EPIC 220565349.01,EPIC 220565349,,,EPIC 220565349,EPIC 220565349.01,,,TIC 376921348,Gaia DR2 2578666551696182528,1,CANDIDATE,Kruse et al. 2019,1,0,0,0,Transit,2018,<a refstr=PETIGURA_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...21P/abstract target=ref>Petigura et al. 2018</a>,2018-01,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,21.77635,0.00014,-0.00014,0,,,,,37,10,-21,0,3.3,0.9,-1.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2457407.473,0.00019,-0.00019,0,BJD,0,,,,,2.843,0.018,-0.017,0,2.1696,0.0384,-0.0504,0,60.8,1.4,-2.4,0,0.306,0.085,-0.155,0,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,,,,1.122,0.011,-0.269,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h14m48.67s,18.7027892,+08d15m05.31s,8.2514749,-54.16988,132.84284,0.31197,20.37625,13.1142653,0.048159,-0.048159,7.32438,0.0576573,-0.0576573,10.8783,0.0431701,-0.0431701,603.921,13.94,-13.94,1.6271,0.037932,-0.037932,15.306,0.041,-0.041,14.544,0.172,-0.172,12.722,0.022,-0.022,12.296,0.022,-0.022,12.204,0.026,-0.026,16.4426,0.0068449,-0.0068449,14.8067,0.0038834,-0.0038834,14.1277,0.0040799,-0.0040799,14.128,0.0010038,-0.0010038,13.7067,0.0038382,-0.0038382,12.128,0.024,-0.024,12.165,0.023,-0.023,11.851,0.224,-0.224,9.079001,,,14.1596,0.000413,-0.000413,,,,13.5822,0.0073,-0.0073,14.122,,,2019-09-05,2019-09,2019-09-05,0,8,1,0,0,0,0,0,0
1552,EPIC 220565349.01,EPIC 220565349,,,EPIC 220565349,EPIC 220565349.01,,,TIC 376921348,Gaia DR2 2578666551696182528,0,CANDIDATE,Kruse et al. 2019,1,0,0,0,Transit,2018,<a refstr=PETIGURA_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...21P/abstract target=ref>Petigura et al. 2018</a>,2018-01,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Published Candidate,0,<a refstr=PETIGURA_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...21P/abstract target=ref>Petigura et al. 2018</a>,21.776971,0.000243,-0.000235,0,,,,,19.9,21.8,-6,0,1.78,1.94,-0.54,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2457407.473,0.000363,-0.000456,0,BJD,0,0.91,0.31,-0.23,0,,,,,2.2008,0.0504,-0.2088,0,,,,,0.2177,0.2383,-0.0656,0,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=PETIGURA_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...21P/abstract target=ref>Petigura et al. 2018</a>,,,,,,0.84,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h14m48.67s,18.7027892,+08d15m05.31s,8.2514749,-54.16988,132.84284,0.31197,20.37625,13.1142653,0.048159,-0.048159,7.32438,0.0576573,-0.0576573,10.8783,0.0431701,-0.0431701,603.921,13.94,-13.94,1.6271,0.037932,-0.037932,15.306,0.041,-0.041,14.544,0.172,-0.172,12.722,0.022,-0.022,12.296,0.022,-0.022,12.204,0.026,-0.026,16.4426,0.0068449,-0.0068449,14.8067,0.0038834,-0.0038834,14.1277,0.0040799,-0.0040799,14.128,0.0010038,-0.0010038,13.7067,0.0038382,-0.0038382,12.128,0.024,-0.024,12.165,0.023,-0.023,11.851,0.224,-0.224,9.079001,,,14.1596,0.000413,-0.000413,,,,13.5822,0.0073,-0.0073,14.122,,,2017-12-14,2018-01,2017-12-14,0,8,1,0,0,0,0,0,0
1553,EPIC 220571481.01,EPIC 220571481,,,EPIC 220571481,EPIC 220571481.01,,,TIC 266074031,Gaia DR2 2580785619840608640,1,CANDIDATE,Kruse et al. 2019,1,0,0,0,Transit,2019,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,2019-09,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,8.78627,0.00042,-0.00042,0,,,,,3.16,0.31,-1.32,0,0.282,0.028,-0.118,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2457392.607,0.0019,-0.002,0,BJD,0,,,,,0.0645,0.0043,-0.0049,0,1.392,0.12,-0.216,0,41.1,24.6,-8.9,0,0.0244,0.0024,-0.0102,0,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,,,,1.184,0.014,-0.048,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h58m48.42s,14.7017474,+08d24m09.15s,8.402543,-54.42436,126.06558,1.95999,16.77273,16.8955051,0.0440893,-0.0440893,13.8351,0.0503925,-0.0503925,-9.69784,0.0270521,-0.0270521,545.752,10.169,-9.811,1.80364,0.0332851,-0.0332851,13.849,0.026,-0.026,13.284,0.08,-0.08,11.961,0.022,-0.022,11.698,0.022,-0.022,11.661,0.021,-0.021,15.1558,0.0059792,-0.0059792,13.6212,0.00093,-0.00093,13.1041,0.0025542,-0.0025542,12.9988,0.001228,-0.001228,13.3118,0.0049914,-0.0049914,11.603,0.022,-0.022,11.632,0.023,-0.023,11.588,0.298,-0.298,8.694,,,13.0571,0.000339,-0.000339,,,,12.6098,0.0067,-0.0067,13.055,,,2019-09-05,2019-09,2019-09-05,0,8,1,0,0,0,0,0,0
1554,EPIC 220573228.01,EPIC 220573228,,,EPIC 220573228,EPIC 220573228.01,,,TIC 380884709,Gaia DR2 2578088582242020480,0,CANDIDATE,Kruse et al. 2019,1,0,0,0,Transit,2019,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,2019-09,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,TESS Project Candidate,0,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,57.1050077,0.0000987,-0.0000987,0,,,,,5.93946,0.343948,-0.343948,0,0.52988404,0.03068504,-0.03068504,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1521,,,0,530,,,0,,,,,2460150.882,0.0044956,-0.0044956,0,BJD,0,,,,,0.3388,0.0159411,-0.0159411,0,5.271,1.203,-1.203,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,,5816,134.2,-134.2,0,0.97,0.05,-0.05,0,,,,,,,,,,,,,,4.49,0.08,-0.08,0,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h05m06.46s,16.2769235,+08d26m40.49s,8.4445808,-54.27327,128.72751,1.40127,18.22854,31.2634895,0.1025566,-0.1025566,-12.8657,0.106039,-0.106039,-28.4935,0.101832,-0.101832,185.272,2.367,-2.31,5.36974,0.067605,-0.067605,11.958,0.276,-0.276,11.192,0.02,-0.02,10.088,0.021,-0.021,9.8,0.022,-0.022,9.726,0.021,-0.021,14.1033,0.0041107,-0.0041107,11.7628,0.0008187,-0.0008187,11.2884,0.000955,-0.000955,11.084,0.0007188,-0.0007188,12.414,0.0046903,-0.0046903,9.704001,0.023,-0.023,9.738,0.02,-0.02,9.697,0.048,-0.048,8.851,0.457,-0.457,11.153,0.001923,-0.001923,,,,10.7052,0.0067,-0.0067,11.057,,,2024-09-30,2017-07,2024-09-30,0,8,1,0,0,0,0,0,0
1555,EPIC 220573228.01,EPIC 220573228,,,EPIC 220573228,EPIC 220573228.01,,,TIC 380884709,Gaia DR2 2578088582242020480,1,CANDIDATE,Kruse et al. 2019,1,0,0,0,Transit,2019,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,2019-09,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,57.10412,0.00054,-0.00053,0,,,,,5.61,0.17,-0.31,0,0.5,0.015,-0.028,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2457409.843,0.00038,-0.00038,0,BJD,0,,,,,0.3222,0.0026,-0.0026,0,5.1696,0.0648,-0.084,0,82.6,11.8,-6.2,0,0.0529,0.0013,-0.0028,0,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,,,,0.971,0.016,-0.016,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h05m06.46s,16.2769235,+08d26m40.49s,8.4445808,-54.27327,128.72751,1.40127,18.22854,31.2634895,0.1025566,-0.1025566,-12.8657,0.106039,-0.106039,-28.4935,0.101832,-0.101832,185.272,2.367,-2.31,5.36974,0.067605,-0.067605,11.958,0.276,-0.276,11.192,0.02,-0.02,10.088,0.021,-0.021,9.8,0.022,-0.022,9.726,0.021,-0.021,14.1033,0.0041107,-0.0041107,11.7628,0.0008187,-0.0008187,11.2884,0.000955,-0.000955,11.084,0.0007188,-0.0007188,12.414,0.0046903,-0.0046903,9.704001,0.023,-0.023,9.738,0.02,-0.02,9.697,0.048,-0.048,8.851,0.457,-0.457,11.153,0.001923,-0.001923,,,,10.7052,0.0067,-0.0067,11.057,,,2019-09-05,2019-09,2019-09-05,0,8,1,0,0,0,0,0,0
1556,EPIC 220573228.02,EPIC 220573228,,,EPIC 220573228,EPIC 220573228.02,,,TIC 380884709,Gaia DR2 2578088582242020480,1,CANDIDATE,Kruse et al. 2019,1,0,0,0,Transit,2019,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,2019-09,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,20.21535,0.00102,-0.00089,0,,,,,2.61,0.14,-0.28,0,0.233,0.012,-0.025,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2457392.524,0.0015,-0.0017,0,BJD,0,,,,,0.0661,0.0019,-0.0019,0,3.408,0.096,-0.132,0,41.2,10.8,-5.1,0,0.0246,0.0013,-0.0026,0,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,,,,0.971,0.016,-0.016,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h05m06.46s,16.2769235,+08d26m40.49s,8.4445808,-54.27327,128.72751,1.40127,18.22854,31.2634895,0.1025566,-0.1025566,-12.8657,0.106039,-0.106039,-28.4935,0.101832,-0.101832,185.272,2.367,-2.31,5.36974,0.067605,-0.067605,11.958,0.276,-0.276,11.192,0.02,-0.02,10.088,0.021,-0.021,9.8,0.022,-0.022,9.726,0.021,-0.021,14.1033,0.0041107,-0.0041107,11.7628,0.0008187,-0.0008187,11.2884,0.000955,-0.000955,11.084,0.0007188,-0.0007188,12.414,0.0046903,-0.0046903,9.704001,0.023,-0.023,9.738,0.02,-0.02,9.697,0.048,-0.048,8.851,0.457,-0.457,11.153,0.001923,-0.001923,,,,10.7052,0.0067,-0.0067,11.057,,,2019-09-05,2019-09,2019-09-05,0,8,1,0,0,0,0,0,0
